Start Date,1/1/2024,,,Company:,Salesforce,,Hubspot
End Date,3/31/2026,,,Ticker Symbol:,CRM,,HUBS
,,,,,,,
,,,,,,,
,,,,Date,Close,,Close
,,,,8/21/2024, $367.87 ,, $757.40 
,,,,8/22/2024, $361.38 ,, $737.87 
,,,,8/23/2024, $361.99 ,, $741.67 
,,,,8/24/2024, $351.57 ,, $737.38 
,,,,8/25/2024, $348.82 ,, $720.62 
,,,,8/26/2024, $354.85 ,, $726.08 
,,,,8/27/2024, $358.03 ,, $734.49 
,,,,8/28/2024, $354.31 ,, $721.86 
,,,,8/29/2024, $357.23 ,, $746.91 
,,,,8/30/2024, $350.97 ,, $741.67 
,,,,8/31/2024, $337.23 ,, $707.02 
,,,,9/1/2024, $336.23 ,, $702.45 
,,,,9/2/2024, $343.65 ,, $719.00 
,,,,9/3/2024, $342.90 ,, $714.96 
,,,,9/4/2024, $344.43 ,, $721.36 
,,,,9/5/2024, $341.72 ,, $724.67 
,,,,9/6/2024, $338.45 ,, $708.16 
,,,,9/7/2024, $335.74 ,, $699.51 
,,,,9/8/2024, $334.33 ,, $696.77 
,,,,9/9/2024, $330.66 ,, $697.43 
,,,,9/10/2024, $332.90 ,, $702.85 
,,,,9/11/2024, $330.53 ,, $707.71 
,,,,9/12/2024, $324.93 ,, $701.25 
,,,,9/13/2024, $326.90 ,, $709.42 
,,,,9/14/2024, $317.85 ,, $704.36 
,,,,9/15/2024, $319.07 ,, $699.14 
,,,,9/16/2024, $323.54 ,, $703.49 
,,,,9/17/2024, $321.16 ,, $709.14 
,,,,9/18/2024, $320.00 ,, $717.33 
,,,,9/19/2024, $324.56 ,, $704.44 
,,,,9/20/2024, $326.84 ,, $726.09 
,,,,9/21/2024, $332.62 ,, $730.16 
,,,,9/22/2024, $334.66 ,, $737.12 
,,,,9/23/2024, $333.88 ,, $726.61 
,,,,9/24/2024, $347.10 ,, $758.43 
,,,,9/25/2024, $359.95 ,, $794.57 
,,,,9/26/2024, $354.00 ,, $777.79 
,,,,9/27/2024, $343.57 ,, $771.99 
,,,,9/28/2024, $341.70 ,, $779.53 
,,,,9/29/2024, $339.24 ,, $764.92 
,,,,9/30/2024, $344.14 ,, $763.61 
,,,,10/1/2024, $347.93 ,, $779.71 
,,,,10/2/2024, $330.81 ,, $778.05 
,,,,10/3/2024, $325.83 ,, $771.17 
,,,,10/4/2024, $327.20 ,, $805.57 
,,,,10/5/2024, $324.40 ,, $784.45 
,,,,10/6/2024, $326.12 ,, $785.50 
,,,,10/7/2024, $329.85 ,, $819.71 
,,,,10/8/2024, $326.54 ,, $811.95 
,,,,10/9/2024, $328.96 ,, $803.35 
,,,,10/10/2024, $324.53 ,, $770.95 
,,,,10/11/2024, $318.43 ,, $748.00 
,,,,10/12/2024, $309.80 ,, $726.43 
,,,,10/13/2024, $308.32 ,, $723.74 
,,,,10/14/2024, $305.88 ,, $720.10 
,,,,10/15/2024, $307.33 ,, $724.37 
,,,,10/16/2024, $294.90 ,, $713.19 
,,,,10/17/2024, $297.85 ,, $723.99 
,,,,10/18/2024, $293.06 ,, $707.63 
,,,,10/19/2024, $287.34 ,, $687.12 
,,,,10/20/2024, $291.97 ,, $698.33 
,,,,10/21/2024, $286.05 ,, $652.10 
,,,,10/22/2024, $282.89 ,, $640.21 
,,,,10/23/2024, $272.90 ,, $586.55 
,,,,10/24/2024, $277.05 ,, $590.67 
,,,,10/25/2024, $284.58 ,, $611.06 
,,,,10/26/2024, $271.74 ,, $598.32 
,,,,10/27/2024, $279.40 ,, $609.18 
,,,,10/28/2024, $280.75 ,, $613.06 
,,,,10/29/2024, $278.73 ,, $596.96 
,,,,10/30/2024, $279.39 ,, $604.77 
,,,,10/31/2024, $279.03 ,, $598.22 
,,,,11/1/2024, $280.62 ,, $606.27 
,,,,11/2/2024, $285.96 ,, $626.90 
,,,,11/3/2024, $288.61 ,, $627.11 
,,,,11/4/2024, $280.99 ,, $608.68 
,,,,11/5/2024, $277.81 ,, $593.41 
,,,,11/6/2024, $269.97 ,, $582.11 
,,,,11/7/2024, $268.36 ,, $571.29 
,,,,11/8/2024, $270.20 ,, $582.02 
,,,,11/9/2024, $271.54 ,, $592.99 
,,,,11/10/2024, $255.23 ,, $527.79 
,,,,11/11/2024, $240.76 ,, $501.50 
,,,,11/12/2024, $244.21 ,, $498.57 
,,,,11/13/2024, $243.99 ,, $487.07 
,,,,11/14/2024, $265.17 ,, $549.05 
,,,,11/15/2024, $255.12 ,, $518.87 
,,,,11/16/2024, $255.00 ,, $527.80 
,,,,11/17/2024, $254.55 ,, $527.56 
,,,,11/18/2024, $254.93 ,, $547.18 
,,,,11/19/2024, $249.84 ,, $544.04 
,,,,11/20/2024, $247.26 ,, $539.69 
,,,,11/21/2024, $236.26 ,, $519.06 
,,,,11/22/2024, $243.39 ,, $541.82 
,,,,11/23/2024, $250.48 ,, $565.96 
,,,,11/24/2024, $264.70 ,, $600.50 
,,,,11/25/2024, $267.85 ,, $615.49 
,,,,11/26/2024, $265.64 ,, $612.43 
,,,,11/27/2024, $267.76 ,, $612.69 
,,,,11/28/2024, $268.71 ,, $611.50 
,,,,11/29/2024, $269.33 ,, $624.05 
,,,,11/30/2024, $275.08 ,, $635.81 
,,,,12/1/2024, $272.63 ,, $639.40 
,,,,12/2/2024, $273.36 ,, $632.11 
,,,,12/3/2024, $278.23 ,, $643.73 
,,,,12/4/2024, $279.74 ,, $660.36 
,,,,12/5/2024, $275.42 ,, $603.05 
,,,,12/6/2024, $288.82 ,, $662.63 
,,,,12/7/2024, $289.17 ,, $672.24 
,,,,12/8/2024, $290.74 ,, $670.00 
,,,,12/9/2024, $290.76 ,, $664.05 
,,,,12/10/2024, $291.15 ,, $660.79 
